run_dir,arm,model,tier,budget_CU,run_index,steps,full_decision_correct,decision_stable_CU,decision_stable_CU_quoted,quote_inflation_CU,final_used_CU,overrun_CU,overrun_fraction,stop_mode,budget_remaining_at_stop,why_stop
E2_llm_agent_anonymous_B175_r0_c1e2_20260911T053357Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,0,8,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r10_c1e2_20260911T053642Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,10,9,0,,,,152.0,,,budget_exhausted,23.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r11_c1e2_20260911T053655Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,11,15,0,,,,147.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r12_c1e2_20260911T053708Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,12,8,0,,,,174.0,,,self_stop,1.0,"agent STOP: A feasible optimized industrial candidate exists, and exact dominance has screened one plausible alternative. The remaining budget is too small to m"
E2_llm_agent_anonymous_B175_r13_c1e2_20260911T053744Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,13,14,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r14_c1e2_20260911T053800Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,14,15,0,,,,155.0,,,self_stop,20.0,"agent STOP: Stopping because no further decisive action is affordable: remaining budget is 20 CU, while the needed optimization for the unresolved high-activity"
E2_llm_agent_anonymous_B175_r15_c1e2_20260911T053838Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,15,8,0,,,,175.0,,,self_stop,0.0,"agent STOP: Compute budget exhausted. The industrial choice was already identified as a feasible optimum among optimized candidates, and the remaining candidate"
E2_llm_agent_anonymous_B175_r16_c1e2_20260911T053855Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,16,14,0,,,,173.0,,,self_stop,2.0,"agent STOP: A feasible optimized candidate exists, and the main economically relevant competitor checked at the same process domain was infeasible. Remaining bu"
E2_llm_agent_anonymous_B175_r17_c1e2_20260911T053917Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,17,10,0,,,,174.0,,,self_stop,1.0,agent STOP: Stopped because the remaining budget is insufficient to pay for the required reachability action (2 CU) and no affordable action is expected to chan
E2_llm_agent_anonymous_B175_r18_c1e2_20260911T053956Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,18,22,0,,,,169.0,,,budget_exhausted,6.0,budget_exhausted (3 consecutive unaffordable actions)
