model,variant,budget_CU,run,spent_CU,wrong_winner,wrong_pair,wrong_or_missing_reachability,llm_env_winner_disagree,no_backward,parity_window_relative,parity_not_reported,unresolved_candidate_stop,all_15_optimized,over_confirmation,post_decision_spend_gt_100CU,lever_used,prior_ordered_fe_first,non_canonical_order,narrow_window_used,not_agent_stop,action_errors,malformed_turns,infra_retries,break_even_estimate,break_even_rel_error,unnecessary_CU_fraction,CU_after_stable_winner,why_stop,windows_built,sequence,trace
gpt-5.4-nano-2026-03-17,anonymous,1200,0,358.0,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,,,0.4860335195530726,58.0,agent STOP: Stopping rule S2 satisfied: feasible optimized candidate exists (candidate_13) and all remaining candidates are either optimized and infeasible or s,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B1200_r0_20260906T021254Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,1200,1,392.0,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,,,0.5178571428571429,179.0,agent STOP: Stopping rule S1+S2 satisfied (candidate_13 feasible lowest-cost; remaining optimized candidates screened/dominated or optimized; only remaining can,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY BACKWARD TEST_REACHABILITY TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B1200_r1_20260906T021321Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,1200,2,455.0,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,,,0.5912087912087912,126.0,agent STOP: Stopping rule satisfied: a feasible lowest-cost candidate exists (S1) and exact dominance/screens indicate no unresolved candidates (S2). Highest-ac,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS READ_COST_BREAKDOWN READ_COST_BREAKDOWN READ_COST_BREAKDOWN CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY BACKWARD TEST_REACHABILITY BACKWARD TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B1200_r2_20260906T021347Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,1200,3,387.0,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,,,0.524547803617571,203.0,agent STOP: Budget sufficient but S2 achieved: only candidate_13/candidate_04/candidate_05 had feasible optimized states; dominance check confirmed candidate_05,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS READ_COST_BREAKDOWN READ_COST_BREAKDOWN OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B1200_r3_20260906T021421Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,1200,4,300.0,False,False,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,,,0.38666666666666666,116.0,agent STOP: All remaining unresolved candidates have been screened via exact dominance/state-level check or are outside feasible bed-cap after optimization. Can,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY OPTIMIZE_PROCESS STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B1200_r4_20260906T021447Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,2000,0,541.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,201.2234429878986,9.887116682761115e-16,0.6432532347504621,270.0,agent STOP: Stopping rule S2 satisfied (no unresolved candidates; exact dominance check indicates candidate_04 is not cheaper anywhere feasible). S3 satisfied b,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY READ_COST_BREAKDOWN READ_COST_BREAKDOWN BACKWARD TEST_REACHABILITY TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B2000_r0_20260906T021506Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,2000,1,421.0,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,201.2234429878986,9.887116682761115e-16,0.5510688836104513,121.0,agent STOP: Stopping rule satisfied: (S1 and S2 and S3) after dominance checks and reachability classification for the relevant highest-activity-vs-lowest-cost ,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY TEST_REACHABILITY BACKWARD TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B2000_r1_20260906T021544Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,2000,2,565.0,False,False,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,,,0.5646017699115045,294.0,agent STOP: ,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS READ_COST_BREAKDOWN OPTIMIZE_PROCESS READ_COST_BREAKDOWN CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY COMPUTE_ACTIVITY TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B2000_r2_20260906T021650Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,2000,3,450.0,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,,,0.58,237.0,agent STOP: Stopping rule satisfied: S1 feasible optimized winner exists (candidate_05). S2 no unresolved candidates (all candidates either optimized or screene,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY BACKWARD TEST_REACHABILITY READ_COST_BREAKDOWN TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B2000_r3_20260906T021727Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,2000,4,421.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,201.2234429878986,9.887116682761115e-16,0.5510688836104513,121.0,agent STOP: Stopping rule S3 satisfied: highest-activity candidate differs from lowest-cost candidate; BACKWARD and TEST_REACHABILITY executed and classificatio,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS READ_COST_BREAKDOWN CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY COMPUTE_ACTIVITY BACKWARD TEST_REACHABILITY TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B2000_r4_20260906T021759Z\trace.json
